"country code","continent","country","date","total_cases","new_cases","total deaths","total cases per million","total deaths per million","population","life expectancy","human development index"
"DZA","Africa","Algeria","2020-12-30","99311.0","323.0","2751.0","2264.735","62.735","43851043.0","76.88","0.754"
"AGO","Africa","Angola","2020-12-30","17433.0","62.0","405.0","530.422","12.323","32866268.0","61.15","0.581"
"BEN","Africa","Benin","2020-12-30","3251.0","46.0","44.0","268.164","3.629","12123198.0","61.77","0.515"
"BWA","Africa","Botswana","2020-12-30","14700.0","675.0","40.0","6250.997","17.01","2351625.0","69.59","0.717"
"BFA","Africa","Burkina Faso","2020-12-30","6631.0","94.0","84.0","317.223","4.019","20903278.0","61.58","0.423"
"BDI","Africa","Burundi","2020-12-30","809.0","0.0","2.0","68.036","0.168","11890781.0","61.58","0.417"
"CMR","Africa","Cameroon","2020-12-30","26277.0","0.0","448.0","989.872","16.876","26545864.0","59.29","0.556"
"CPV","Africa","Cape Verde","2020-12-30","11793.0","41.0","112.0","21210.889","201.443","555988.0","72.98","0.654"
"CAF","Africa","Central African Republic","2020-12-30","4963.0","2.0","63.0","1027.586","13.044","4829764.0","53.28","0.367"
"TCD","Africa","Chad","2020-12-30","2077.0","29.0","104.0","126.447","6.331","16425859.0","54.24","0.404"
"COM","Africa","Comoros","2020-12-30","765.0","0.0","9.0","879.72","10.35","869595.0","64.32","0.503"
"COG","Africa","Congo","2020-12-30","6908.0","0.0","107.0","1251.882","19.391","5518092.0","64.57","0.606"
"CIV","Africa","Cote d'Ivoire","2020-12-30","22366.0","116.0","137.0","847.895","5.194","26378275.0","57.78","0.492"
"COD","Africa","Democratic Republic of Congo","2020-12-30","17376.0","194.0","584.0","194.012","6.521","89561404.0","60.68","0.457"
"DJI","Africa","Djibouti","2020-12-30","5824.0","11.0","61.0","5894.725","61.741","988002.0","67.11","0.476"
"EGY","Africa","Egypt","2020-12-30","136644.0","1411.0","7576.0","1335.269","74.032","102334403.0","71.99","0.696"
"GNQ","Africa","Equatorial Guinea","2020-12-30","5264.0","16.0","86.0","3752.0","61.298","1402985.0","58.74","0.591"
"ERI","Africa","Eritrea","2020-12-30","1252.0","32.0","1.0","353.031","0.282","3546427.0","66.32","0.44"
"SWZ","Africa","Eswatini","2020-12-30","9146.0","212.0","184.0","7883.368","158.598","1160164.0","60.19","0.588"
"ETH","Africa","Ethiopia","2020-12-30","123856.0","468.0","1918.0","1077.35","16.684","114963583.0","66.6","0.463"
"GAB","Africa","Gabon","2020-12-30","9571.0","61.0","64.0","4300.166","28.755","2225728.0","66.47","0.702"
"GMB","Africa","Gambia","2020-12-30","3797.0","0.0","124.0","1571.174","51.31","2416664.0","62.05","0.46"
"GHA","Africa","Ghana","2020-12-30","54771.0","90.0","335.0","1762.659","10.781","31072945.0","64.07","0.592"
"GIN","Africa","Guinea","2020-12-30","13707.0","19.0","80.0","1043.723","6.092","13132792.0","61.6","0.459"
"GNB","Africa","Guinea-Bissau","2020-12-30","2452.0","0.0","45.0","1245.936","22.866","1967998.0","58.32","0.455"
"KEN","Africa","Kenya","2020-12-30","96251.0","112.0","1667.0","1790.007","31.002","53771300.0","66.7","0.59"
"LSO","Africa","Lesotho","2020-12-30","3094.0","89.0","51.0","1444.275","23.807","2142252.0","54.33","0.52"
"LBR","Africa","Liberia","2020-12-30","1779.0","0.0","83.0","351.743","16.411","5057677.0","64.1","0.435"
"LBY","Africa","Libya","2020-12-30","99935.0","585.0","1459.0","14543.855","212.333","6871287.0","72.91","0.706"
"MDG","Africa","Madagascar","2020-12-30","17714.0","0.0","261.0","639.702","9.425","27691019.0","67.04","0.519"
"MWI","Africa","Malawi","2020-12-30","6471.0","83.0","189.0","338.265","9.88","19129955.0","64.26","0.477"
"MLI","Africa","Mali","2020-12-30","7029.0","233.0","269.0","347.097","13.283","20250834.0","59.31","0.427"
"MRT","Africa","Mauritania","2020-12-30","14191.0","202.0","339.0","3052.051","72.909","4649660.0","64.92","0.52"
"MUS","Africa","Mauritius","2020-12-30","527.0","0.0","10.0","414.384","7.863","1271767.0","74.99","0.79"
"MAR","Africa","Morocco","2020-12-30","437332.0","2143.0","7355.0","11848.426","199.265","36910558.0","76.68","0.667"
"MOZ","Africa","Mozambique","2020-12-30","18485.0","113.0","165.0","591.417","5.279","31255435.0","60.85","0.437"
"NAM","Africa","Namibia","2020-12-30","23333.0","482.0","196.0","9182.909","77.138","2540916.0","63.71","0.647"
"NER","Africa","Niger","2020-12-30","3208.0","0.0","102.0","132.526","4.214","24206636.0","62.42","0.354"
"NGA","Africa","Nigeria","2020-12-30","86576.0","1016.0","1278.0","419.987","6.2","206139587.0","54.69","0.532"
"RWA","Africa","Rwanda","2020-12-30","8250.0","122.0","86.0","636.957","6.64","12952209.0","69.02","0.524"
"STP","Africa","Sao Tome and Principe","2020-12-30","1014.0","0.0","17.0","4626.736","77.569","219161.0","70.39","0.589"
"SEN","Africa","Senegal","2020-12-30","18945.0","139.0","402.0","1131.455","24.009","16743930.0","67.94","0.505"
"SYC","Africa","Seychelles","2020-12-30","256.0","39.0",,"2603.213",,"98340.0","73.4","0.797"
"SLE","Africa","Sierra Leone","2020-12-30","2583.0","14.0","76.0","323.807","9.527","7976985.0","54.7","0.419"
"SOM","Africa","Somalia","2020-12-30","4714.0","24.0","130.0","296.604","8.18","15893219.0","57.4",
"ZAF","Africa","South Africa","2020-12-30","1039161.0","17710.0","28033.0","17521.227","472.663","59308690.0","64.13","0.699"
"SSD","Africa","South Sudan","2020-12-30","3540.0","29.0","63.0","316.248","5.628","11193729.0","57.85","0.388"
"SDN","Africa","Sudan","2020-12-30","23316.0","0.0","1468.0","531.731","33.478","43849269.0","65.31","0.502"
"TZA","Africa","Tanzania","2020-12-30","509.0","0.0","21.0","8.521","0.352","59734213.0","65.46","0.538"
"TGO","Africa","Togo","2020-12-30","3611.0","7.0","68.0","436.178","8.214","8278737.0","61.04","0.503"
"TUN","Africa","Tunisia","2020-12-30","137216.0","2414.0","4620.0","11610.156","390.909","11818618.0","76.7","0.735"
"UGA","Africa","Uganda","2020-12-30","34677.0","396.0","251.0","758.116","5.487","45741000.0","63.37","0.516"
"ZMB","Africa","Zambia","2020-12-30","20462.0","285.0","386.0","1113.036","20.997","18383956.0","63.89","0.588"
"ZWE","Africa","Zimbabwe","2020-12-30","13625.0","300.0","360.0","916.71","24.221","14862927.0","61.49","0.535"
"AFG","Asia","Afghanistan","2020-12-30","51405.0","55.0","2181.0","1320.503","56.026","38928341.0","64.83","0.498"
"ARM","Asia","Armenia","2020-12-30","158878.0","582.0","2807.0","53616.42","947.276","2963234.0","75.09","0.755"
"AZE","Asia","Azerbaijan","2020-12-30","217636.0","1052.0","2609.0","21464.863","257.319","10139175.0","73.0","0.757"
"BHR","Asia","Bahrain","2020-12-30","92425.0","256.0","352.0","54317.068","206.866","1701583.0","77.29","0.846"
"BGD","Asia","Bangladesh","2020-12-30","512496.0","1235.0","7531.0","3111.895","45.729","164689383.0","72.59","0.608"
"BTN","Asia","Bhutan","2020-12-30","655.0","19.0",,"848.872",,"771612.0","71.78","0.612"
"BRN","Asia","Brunei","2020-12-30","157.0","5.0","3.0","358.871","6.857","437483.0","75.86","0.853"
"KHM","Asia","Cambodia","2020-12-30","366.0","2.0",,"21.891",,"16718971.0","69.82","0.582"
"CHN","Asia","China","2020-12-30","95876.0","79.0","4781.0","66.612","3.322","1439323774.0","76.91","0.752"
